File,LoadAddress,Status,OriginalName,Notes
Almaz-2-MX.exe,0,unverified,Almaz-2.0.exe,MX variant
Budi-MX.exe,0,unverified,Budi.0.EXE,MX variant
Exolon-MX.exe,0,unverified,Exolon.0.exe,MX variant
StarW2-MX.exe,0,unverified,StarW2.0.EXE,MX variant
Buran-STD.exe,0,unverified,Buran.0.EXE,Standard Specialist variant
StarWars-STD.exe,0,unverified,STARW.0.EXE,Standard Specialist variant
StarWar2-STD.exe,0,unverified,STARW2.0.EXE,Standard Specialist variant
